sn,news_site
1,https://ekantipur.com/fifa-world-cup-2022/2022/12/11/167072198976566406.html
2,https://ekantipur.com/news/2022/12/11/167072403279754406.html
3,https://ekantipur.com/news/2022/09/04/166225685982716186.html
4,https://www.onlinekhabar.com/2022/12/1231184
5,https://www.onlinekhabar.com/2022/12/1231048
6,https://www.onlinekhabar.com/2022/12/1228023
7,https://ekantipur.com/national/2022/08/25/166140296848769831.html
8,https://ekantipur.com/national/2022/12/09/167056652822385279.html
9,https://www.news24nepal.tv/2022/12/11/915278
10,https://www.news24nepal.tv/2022/12/10/915106
